route_id,trip_id,service_id
1003,2019,46
1001,202,23
1003,2020,24
1003,2021,24
1003,2022,24
1003,2023,24
1003,2024,24
1003,2025,24
1003,2026,24
1003,2027,24
1003,2028,24
1003,2029,24
1001,203,23
1003,2030,24
1003,2031,24
1003,2032,24
1003,2033,24
1003,2034,24
1003,2035,24
1003,2036,24
1003,2037,24
1003,2038,24
1003,2039,24
1001,204,23
1003,2040,24
1003,2041,24
1003,2042,24
1003,2043,24
1003,2044,24
1003,2045,24
1003,2046,24
1003,2047,24
1003,2048,24
1003,2049,24
1001,205,23
1003,2050,24
1003,2051,24
1003,2052,24
1003,2053,24
1003,2054,24
1003,2055,24
1003,2056,24
1003,2057,24
1003,2058,24
1003,2059,24
1001,206,23
1003,2060,24
1003,2061,24
1003,2062,24
1003,2063,24
1003,2064,24
1003,2065,24
1003,2066,24
1003,2067,24
1003,2068,24
1003,2069,24
1001,207,23
1003,2070,24
1003,2071,24
1003,2072,24
1003,2073,24
1003,2074,24
111,2075,23
111,2076,23
111,2077,23
111,2078,23
111,2079,23
1001,208,23
111,2080,23
111,2081,23
111,2082,23
111,2083,23
111,2084,23
111,2085,23
111,2086,23
111,2087,23
111,2088,23
111,2089,23
1001,209,23
111,2090,23
111,2091,23
111,2092,23
111,2093,23
111,2094,23
111,2095,23
111,2096,23
111,2097,23
111,2098,23
111,2099,23
1001,21,23
1001,210,23
111,2100,23
111,2101,23
111,2102,23
111,2103,23
111,2104,23
111,2105,23
111,2106,23
111,2107,23
111,2108,23
111,2109,23
1001,211,23
111,2110,23
111,2111,23
111,2112,23
111,2113,23
111,2114,46
111,2115,46
111,2116,46
111,2117,46
111,2118,46
111,2119,46
1001,212,23
111,2120,46
111,2121,46
111,2122,46
111,2123,46
111,2124,46
111,2125,46
111,2126,46
111,2127,46
111,2128,46
111,2129,46
1001,213,23
111,2130,46
111,2131,46
111,2132,46
111,2133,46
111,2134,46
111,2135,46
111,2136,46
111,2137,46
111,2138,46
111,2139,46
1001,214,23
111,2140,46
111,2141,46
111,2142,46
111,2143,46
111,2144,46
111,2145,46
111,2146,46
111,2147,46
111,2148,46
111,2149,46
1001,215,23
111,2150,46
111,2151,46
111,2152,46
111,2153,23
111,2154,23
111,2155,23
111,2156,23
111,2157,23
111,2158,23
111,2159,23
1001,216,23
111,2160,23
111,2161,23
111,2162,23
111,2163,23
111,2164,23
111,2165,23
111,2166,23
111,2167,23
111,2168,23
111,2169,23
1001,217,24
111,2170,23
111,2171,23
111,2172,23
111,2173,23
111,2174,23
111,2175,23
111,2176,23
111,2177,23
111,2178,23
111,2179,23
1001,218,24
111,2180,23
111,2181,23
111,2182,23
111,2183,23
111,2184,23
111,2185,23
111,2186,23
111,2187,23
111,2188,23
111,2189,23
1001,219,24
111,2190,23
111,2191,23
111,2192,46
111,2193,46
111,2194,46
111,2195,46
111,2196,46
111,2197,46
111,2198,46
111,2199,46
1001,22,23
1001,220,24
111,2200,46
111,2201,46
111,2202,46
111,2203,46
111,2204,46
111,2205,46
111,2206,46
111,2207,46
111,2208,46
111,2209,46
1001,221,24
111,2210,46
111,2211,46
111,2212,46
111,2213,46
111,2214,46
111,2215,46
111,2216,46
111,2217,46
111,2218,46
111,2219,46
1001,222,24
111,2220,46
111,2221,46
111,2222,46
111,2223,46
111,2224,46
111,2225,46
111,2226,46
111,2227,46
111,2228,46
111,2229,46
1001,223,24
111,2230,46
111,2231,23
111,2232,46
111,2233,23
111,2234,23
111,2235,46
111,2236,46
1005,2237,23
1005,2238,23
1005,2239,23
1001,224,24
1005,2240,23
1005,2241,23
1005,2242,23
1005,2243,23
1005,2244,23
1005,2245,23
1005,2246,23
1005,2247,23
1005,2248,23
1005,2249,23
1001,225,24
1005,2250,23
1005,2251,23
1005,2252,23
1005,2253,23
1005,2254,23
1005,2255,23
1005,2256,23
1005,2257,23
1005,2258,23
1005,2259,23
1001,226,24
1005,2260,23
1005,2261,23
1005,2262,23
1005,2263,23
1005,2264,23
1005,2265,23
1005,2266,23
1005,2267,23
1005,2268,23
1005,2269,23
1001,227,24
1005,2270,23
1005,2271,23
1005,2272,23
1005,2273,23
1005,2274,23
1005,2275,23
1005,2276,23
1005,2277,23
1005,2278,23
1005,2279,23
1001,228,24
1005,2280,23
1005,2281,23
1005,2282,23
1005,2283,23
1005,2284,23
1005,2285,23
1005,2286,23
1005,2287,23
1005,2288,23
1005,2289,23
1001,229,24
1005,2290,23
1005,2291,23
1005,2292,23
1005,2293,23
1005,2294,23
1005,2295,23
1005,2296,23
1005,2297,23
1005,2298,23
1005,2299,23
1001,23,23
1001,230,24
1005,2300,23
1005,2301,23
1005,2302,23
1005,2303,23
1005,2304,24
1005,2305,24
1005,2306,24
1005,2307,24
1005,2308,24
1005,2309,24
1001,231,24
1005,2310,24
1005,2311,24
1005,2312,24
1005,2313,24
1005,2314,24
1005,2315,24
1005,2316,24
1005,2317,24
1005,2318,24
1005,2319,24
1001,232,24
1005,2320,24
1005,2321,24
1005,2322,24
1005,2323,24
1005,2324,24
1005,2325,24
1005,2326,24
1005,2327,24
1005,2328,24
1005,2329,24
1001,233,24
1005,2330,24
1005,2331,24
1005,2332,24
1005,2333,24
1005,2334,24
1005,2335,24
